gene_symbol	ensp_id	proximity	sn_tpm
TMEM230	9606.ENSP00000341364	0.0	54.4392
VPS35	9606.ENSP00000299138	0.0	16.6137
PSEN2	9606.ENSP00000355747	0.0	6.78704
ATP6AP2	9606.ENSP00000367697	0.0	46.7812
RAB39B	9606.ENSP00000358466	0.0	6.73243
SNCA	9606.ENSP00000338345	0.0	34.1163
ATP13A2	9606.ENSP00000327214	0.0	49.0852
AFG3L2	9606.ENSP00000269143	0.0	13.043
TARDBP	9606.ENSP00000240185	0.0	39.115
SYNJ1	9606.ENSP00000409667	0.0	9.25939
HTRA2	9606.ENSP00000258080	0.0	15.1307
LRRK2	9606.ENSP00000298910	0.0	3.32959
PINK1	9606.ENSP00000364204	0.0	47.2882
PLA2G6	9606.ENSP00000333142	0.0	9.93156
PSEN1	9606.ENSP00000326366	0.0	13.8534
PARK2	9606.ENSP00000355865	0.0	2.25769
COQ2	9606.ENSP00000310873	0.0	2.26189
CHCHD2	9606.ENSP00000378812	0.0	305.691
DNAJC6	9606.ENSP00000360108	0.0	40.3625
DCTN1	9606.ENSP00000354791	0.0	81.988
EIF4G1	9606.ENSP00000416255	0.0	44.3122
FBXO7	9606.ENSP00000266087	0.0	63.8384
GRN	9606.ENSP00000053867	0.0	25.6475
GBA	9606.ENSP00000314508	0.0	8.78682
MAPT	9606.ENSP00000340820	0.0	59.2277
PARK7	9606.ENSP00000418770	0.0	167.046
PABPC1	9606.ENSP00000313007	1.001001001001001	66.9184
EIF4A2	9606.ENSP00000326381	1.001001001001001	238.014
EIF4E	9606.ENSP00000425561	1.001001001001001	4.83596
APH1B	9606.ENSP00000261879	1.001001001001001	7.57099
DCTN2	9606.ENSP00000408910	1.001001001001001	66.5155
EIF4A1	9606.ENSP00000293831	1.001001001001001	72.4078
VPS29	9606.ENSP00000480853	1.001001001001001	24.2028
SNX2	9606.ENSP00000368831	1.001001001001001	17.8205
NCSTN	9606.ENSP00000294785	1.001001001001001	21.3908
PSENEN	9606.ENSP00000468411	1.001001001001001	34.675
APH1A	9606.ENSP00000358105	1.001001001001001	39.9957
SNX3	9606.ENSP00000230085	1.001001001001001	141.838
VPS26B	9606.ENSP00000281187	1.001001001001001	20.9821
VPS26A	9606.ENSP00000362480	1.001001001001001	21.1793
EIF4B	9606.ENSP00000388806	1.001001001001001	62.5892
CLIP1	9606.ENSP00000479322	1.002004008016032	9.69188
DYNC1H1	9606.ENSP00000348965	1.002004008016032	44.8053
ACTR1A	9606.ENSP00000358921	1.002004008016032	64.7631
DCTN3	9606.ENSP00000259632	1.002004008016032	20.4078
HSPA8	9606.ENSP00000432083	1.002004008016032	283.062
SNX1	9606.ENSP00000261889	1.002004008016032	21.0636
APP	9606.ENSP00000284981	1.002004008016032	289.376
ACTR1B	9606.ENSP00000289228	1.002004008016032	43.0907
MFN2	9606.ENSP00000235329	1.0030090270812437	53.635
ACTR10	9606.ENSP00000254286	1.0030090270812437	29.3246
PAFAH1B1	9606.ENSP00000380378	1.0030090270812437	45.1854
DCTN4	9606.ENSP00000414906	1.0030090270812437	24.132
SNCAIP	9606.ENSP00000261368	1.0040160642570282	1.18703
CLTC	9606.ENSP00000479606	1.0040160642570282	43.6878
EPS15	9606.ENSP00000360798	1.0040160642570282	40.7483
DYNC1I2	9606.ENSP00000380308	1.0040160642570282	56.6862
EIF3B	9606.ENSP00000354125	1.0040160642570282	36.1715
COQ6	9606.ENSP00000333946	1.0050251256281406	5.43982
DYNC1I1	9606.ENSP00000320130	1.0050251256281406	20.6737
PDSS1	9606.ENSP00000365388	1.0050251256281406	2.7081
DCTN6	9606.ENSP00000221114	1.0060362173038229	46.1407
EIF4G3	9606.ENSP00000383274	1.0060362173038229	16.0651
PDSS2	9606.ENSP00000358033	1.0060362173038229	3.33695
CTNNB1	9606.ENSP00000344456	1.0060362173038229	45.9086
ATP6V0C	9606.ENSP00000329757	1.0070493454179255	203.658
NOTCH1	9606.ENSP00000277541	1.0070493454179255	9.21959
UBC	9606.ENSP00000441543	1.0070493454179255	158.256
CDK5	9606.ENSP00000419782	1.0080645161290323	22.6207
ATP6AP1	9606.ENSP00000358777	1.0080645161290323	39.329
UBB	9606.ENSP00000304697	1.0080645161290323	265.413
RPS6KB1	9606.ENSP00000225577	1.0090817356205852	6.36444
TOMM20	9606.ENSP00000355566	1.0090817356205852	80.3154
ITSN1	9606.ENSP00000370719	1.0101010101010102	5.30592
UBA52	9606.ENSP00000388107	1.0101010101010102	120.209
EIF3C	9606.ENSP00000332604	1.0101010101010102	1.75491
DCTN5	9606.ENSP00000300087	1.0101010101010102	14.3655
MFN1	9606.ENSP00000420617	1.0101010101010102	8.57988
RHOT1	9606.ENSP00000351132	1.0111223458038423	9.82578
