gene_symbol	ensp_id	proximity	sn_tpm
PABPC1	9606.ENSP00000313007	1.001001001001001	66.9184
EIF4A2	9606.ENSP00000326381	1.001001001001001	238.014
VPS29	9606.ENSP00000480853	1.001001001001001	24.2028
NCSTN	9606.ENSP00000294785	1.001001001001001	21.3908
SNX2	9606.ENSP00000368831	1.001001001001001	17.8205
EIF4E	9606.ENSP00000425561	1.001001001001001	4.83596
EIF4B	9606.ENSP00000388806	1.001001001001001	62.5892
VPS26A	9606.ENSP00000362480	1.001001001001001	21.1793
VPS26B	9606.ENSP00000281187	1.001001001001001	20.9821
SNX3	9606.ENSP00000230085	1.001001001001001	141.838
APH1A	9606.ENSP00000358105	1.001001001001001	39.9957
PSENEN	9606.ENSP00000468411	1.001001001001001	34.675
APH1B	9606.ENSP00000261879	1.001001001001001	7.57099
EIF4A1	9606.ENSP00000293831	1.001001001001001	72.4078
DCTN2	9606.ENSP00000408910	1.001001001001001	66.5155
CLIP1	9606.ENSP00000479322	1.002004008016032	9.69188
ACTR1A	9606.ENSP00000358921	1.002004008016032	64.7631
DCTN3	9606.ENSP00000259632	1.002004008016032	20.4078
HSPA8	9606.ENSP00000432083	1.002004008016032	283.062
SNX1	9606.ENSP00000261889	1.002004008016032	21.0636
